Instruction,Operands,μops fused domain,μops unfused domain,µops each port,Latency,Reciprocal throughput
DIV,r16,10,10,p0 p1 p5 p6,23,6
DIV,r32,10,10,p0 p1 p5 p6,26,6
DIV,r64,36,36,p0 p1 p5 p6,35-88,21-83
IDIV,r8,11,11,p0 p1 p5 p6,24,6
IDIV,r16,10,10,p0 p1 p5 p6,23,6
IDIV,r32,10,10,p0 p1 p5 p6,26,6
IDIV,r64,57,57,p0 p1 p5 p6,42-95,24-90
CBW,,1,1,p0156,1,
CWDE,,1,1,p0156,1,
CDQE,,1,1,p0156,1,
CWD,,2,2,p0156,1,
CDQ,,1,1,p06,1,
CQO,,1,1,p06,1,
POPCNT,"r,r",1,1,p1,3,1
POPCNT,"r,m",1,2,p1 p23,,1
CRC32,"r,r",1,1,p1,3,1
CRC32,"r,m",1,2,p1 p23,,1
AND OR XOR,"r,r/i",1,1,p0156,1,0.25
AND OR XOR,"r,m",1,2,p0156 p23,,0.5
AND OR XOR,"m,r/i",2,4,2p0156 2p237 p4,5,1
TEST,"r,r/i",1,1,p0156,1,0.25
TEST,"m,r/i",1,2,p0156 p23,1,0.5
SHR SHL SAR,"r,i",1,1,p06,1,0.5
SHR SHL SAR,"m,i",3,4,2p06 p237 p4,,2
SHR SHL SAR,"r,cl",3,3,3p06,2,2
SHR SHL SAR,"m,cl",5,6,3p06 2p23 p4,,4
ROR ROL,"r,1",2,2,2p06,1,1
ROR ROL,"r,i",1,1,p06,1,0.5
ROR ROL,"m,i",4,5,2p06 2p237 p4,,2
ROR ROL,"r,cl",3,3,3p06,2,2
ROR ROL,"m,cl",5,6,3p06 p23 p4,,4
RCR RCL,"r,1",3,3,2p06 p0156,2,2
RCR RCL,"m,1",4,6,,,3
RCR RCL,"r,i",8,8,p0156,6,6
RCR RCL,"m,i",11,11,,,6
RCR RCL,"r,cl",8,8,p0156,6,6
RCR RCL,"m,cl",11,11,,,6
SHRD SHLD,"r,r,i",1,1,p1,3,1
SHRD SHLD,"m,r,i",3,5,,,2
SHLD,"r,r,cl",4,4,p0156,3,2
SHRD,"r,r,cl",4,4,p0156,4,2
SHRD SHLD,"m,r,cl",5,7,,,4
SHLX SHRX SARX,"r,r,r",1,1,p06,1,0.5
SHLX SHRX SARX,"r,m,r",2,2,p06 p23,,0.5
RORX,"r,r,i",1,1,p06,1,0.5
RORX,"r,m,i",2,2,p06 p23,,0.5
BT,"r,r/i",1,1,p06,1,0.5
BT,"m,r",10,10,,,5
BT,"m,i",2,2,p06 p23,,0.5
BTR BTS BTC,"r,r/i",1,1,p06,1,0.5
BTR BTS BTC,"m,r",10,11,,,5
BTR BTS BTC,"m,i",3,4,p06 p4 p23,,1
BSF BSR,"r,r",1,1,p1,3,1
BSF BSR,"r,m",1,2,p1 p23,,1
SETcc,r,1,1,p06,1,0.5
SETcc,m,2,3,p06 p237 p4,,1
CLC,,1,0,none,,0.25
STC,,1,1,p0156,,0.25
CMC,,1,1,p0156,1,1
CLD STD,,3,3,p15 p6,,4
LZCNT,"r,r",1,1,p1,3,1
LZCNT,"r,m",1,2,p1 p23,,1
TZCNT,"r,r",1,1,p1,3,1
TZCNT,"r,m",1,2,p1 p23,,1
ANDN,"r,r,r",1,1,p15,1,0.5
ANDN,"r,r,m",1,2,p15 p23,1,0.5
BLSI BLSMSK,"r,r",1,1,p15,1,0.5
BLSR,,,,,,
BLSI BLSMSK,"r,m",1,2,p15 p23,,0.5
BLSR,,,,,,
BEXTR,"r,r,r",2,2,2p0156,2,0.5
BEXTR,"r,m,r",3,3,2p0156 p23,,1
BZHI,"r,r,r",1,1,p15,1,0.5
BZHI,"r,m,r",1,2,p15 p23,,0.5
PDEP,"r,r,r",1,1,p1,3,1
PDEP,"r,r,m",1,2,p1 p23,,1
PEXT,"r,r,r",1,1,p1,3,1
PEXT,"r,r,m",1,2,p1 p23,,1
JMP,short/near,1,1,p6,,1-2
JMP,r,1,1,p6,,2
JMP,m,1,2,p23 p6,,2
Conditional jump,short/near,1,1,p6,,1-2
Conditional jump,short/near,1,1,p06,,0.5-1
Fused arithmetic and branch,,1,1,p6,,1-2
Fused arithmetic and branch,,1,1,p06,,0.5-1
J(E/R)CXZ,short,2,2,p0156 p6,,0.5-2
LOOP,short,7,7,,,5
LOOP(N)E,short,11,11,,,6
CALL,near,2,3,p237 p4 p6,,3
CALL,r,2,3,p237 p4 p6,,2
CALL,m,3,4,2p237 p4 p6,,3
RET,,1,2,p237 p6,,1
RET,i,,2,,,2
BOUND,"r,m",15,15,,,8
INTO,,5,5,,,6
LODSB/W,,3,3,2p0156 p23,,1
LODSD/Q,,2,2,p0156 p23,,1
REP LODS,,5n+12,,,,~2n
STOS,,3,3,p23 p0156 p4,,1
REP STOS,,,,,,~0.5n
REP STOS,,2.6/32B,,,,1/32B
MOVS,,5,5,2p23 p4 2p0156,,4
REP MOVS,,~2n,,,,
REP MOVS,,4/32B,,,,1/32B
SCAS,,3,3,p23 2p0156,,1
REP SCAS,,≥6n,,,,≥2n
CMPS,,5,5,2p23 3p0156,,4
REP CMPS,,≥8n,,,,≥2n
Synchronization instructions,,,,,,
XADD,"m,r",4,5,,,5
LOCK XADD,"m,r",9,9,,,18
LOCK ADD,"m,r",8,8,,,18
CMPXCHG,"m,r",5,6,,,6
LOCK CMPXCHG,"m,r",10,10,,,18
CMPXCHG8B,"m,r",16,16,,,11
LOCK CMPXCHG8B,"m,r",20,20,,,19
CMPXCHG16B,"m,r",23,23,,,16
LOCK CMPXCHG16B,"m,r",25,25,,,26
NOP (90),,1,0,none,,0.25
Long NOP (0F1F),,1,0,none,,0.25
PAUSE,,4,4,p6,,
ENTER,"a,0",12,12,,,8
ENTER,"a,b",~14+7b,~45+7b,,~87+2b,
LEAVE,,3,3,2p0156 p23,,5
XGETBV,,15,15,,,9
CPUID,,27-118,,,,100-250
RDTSC,,20,20,,,25
RDTSCP,,22,22,,,32
RDPMC,,35,35,,,40
RDRAND,r,16,16,p23 15p0156,,~460
RDSEED,r,16,16,p23 15p0156,,~460
FLD,r,1,1,p05,1,0.5
FLD,m32/64,1,1,p23,3,0.5
FLD,m80,4,4,2p01 2p23,4,2
FBLD,m80,43,43,,46,22
FST(P),r,1,1,p05,1,0.5
FST(P),m32/m64,1,2,p4 p237,3,1
FSTP,m80,7,7,3p0156 2p23 2p4,4,5
FBSTP,m80,244,226,,264,266
FXCH,r,2,0,none,0,0.5
FILD,m,1,2,p05 p23,5,1
FIST(P),m,3,3,p5 p23 p4,7,1
FISTTP,m,3,3,p1 p23 p4,7,2
FLDZ,,1,1,p05,,1
FLD1,,2,2,2p05,,2
FLDPI FLDL2E etc,.,2,2,2p05,,2
FCMOVcc,r,4,4,p0 p1 p56,3,2
FNSTSW,AX,2,2,p0 p0156,6,2
FNSTSW,m16,2,3,p0 p4 p237,6,1
FLDCW,m16,3,3,p01 p23 p6,7,2
FNSTCW,m16,2,3,p237 p4 p6,6,1
FINCSTP FDECST,P,1,1,p05,0,0.5
FFREE(P),r,1,1,p05,,0.5
FNSAVE,m,133,133,,176,176
FRSTOR,m,89,89,,175,175
Arithmetic in-,,,,,,
structions,,,,,,
FADD(P),,,,,,
FSUB(R)(P),r,1,1,p5,3,1
FADD(P),,,,,,
FSUB(R)(P),m,2,3,p5 p23,,1
FMUL(P),r,1,1,p0,5,1
FMUL(P),m,2,3,p0 p23,,1
FDIV(R)(P),r,1,1,p0,14-16,4-5
FDIV(R)(P),m,1,2,p0 p23,,4-5
FABS,,1,1,p0,1,1
FCHS,,1,1,p0,1,1
FCOM(P) FUCOM,r,1,1,p5,3,1
FCOM(P) FUCOM,m,1,2,p5 p23,,1
FCOMPP FUCOM,PP,2,2,p0 p5,,1
FCOMI(P),,,,,,
FUCOMI(P),r,3,3,p5,,1
FIADD FISUB(R),m,3,4,2p5 p23,,2
FIMUL,m,2,3,p0 p5 p23,,1
FIDIV(R),m,2,3,p0 p5 p23,,
FICOM(P),m,2,3,2p5 p23,,2
FTST,,1,1,p5,3,1
FXAM,,2,2,2p5,6,2
FPREM,,31,31,,26-30,17
FPREM1,,31,31,,30-57,17
FRNDINT,,17,17,,21,11
Math,,,,,,
FSCALE,,27,27,,130,130
FXTRACT,,17,17,,11,11
FSQRT,,1,1,p0,14-21,4-7
FSIN,,53-105,,,50-120,
FCOS,,53-105,,,50-130,
FSINCOS,,55-120,,,55-150,
F2XM1,,16-90,,,65-80,
FYL2X,,40-100,,,103,
FYL2XP1,,56,,,77,
FPTAN,,40-112,,,140-160,
FPATAN,,30-160,,,100-160,
Other,,,,,,
FNOP,,1,1,p05,,0.5
WAIT,,2,2,p05,,2
FNCLEX,,5,5,p156,,22
FNINIT,,18,18,,,78
MOVD,"r32/64,mm/x",1,1,p0,2,1
MOVD,"m32/64,mm/x",1,2,p237 p4,3,1
MOVD,"mm/x,r32/64",1,1,p5,2,1
MOVD,"mm/x,m32/64",1,1,p23,2,0.5
MOVQ,"r64,mm/x",1,1,p0,2,1
MOVQ,"mm/x,r64",1,1,p5,2,1
MOVQ,"mm,mm",1,,p05,1,0.5
MOVQ,"x,x",1,,p015,1,0.33
MOVQ,"mm/x,m64",1,1,p23,2,0.5
MOVQ,"m64, mm/x",1,2,p237 p4,3,1
MOVDQA/U,"x,x",1,1,p015,0-1,0.25
MOVDQA/U,"x, m128",1,1,p23,2,0.5
MOVDQA/U,"m128, x",1,2,p237 p4,3,1
VMOVDQA/U,"y,y",1,1,p015,0-1,0.25
VMOVDQA/U,"y,m256",1,1,p23,3,0.5
VMOVDQA/U,"m256,y",1,2,p237 p4,3,1
LDDQU,"x, m128",1,1,p23,3,0.5
MOVDQ2Q,"mm, x",2,2,p0 p5,2,1
MOVQ2DQ,"x,mm",2,2,p0 p15,2,1
MOVNTQ,"m64,mm",1,2,p237 p4,~418,1
MOVNTDQ,"m128,x",1,2,p237 p4,~450,1
VMOVNTDQ,"m256,y",1,2,p237 p4,~400,1
MOVNTDQA,"x, m128",2,2,p23 p015,3,0.5
VMOVNTDQA,"y,m256",2,2,p23 p015,3,0.5
PACKSSWB/DW,,,,,,
PACKUSWB,"mm,mm",3,3,p5,2,2
PACKSSWB/DW,,,,,,
PACKUSWB,"mm,m64",3,3,p23 2p5,,2
PACKSSWB/DW,,,,,,
PACKUSWB,"x,x / y,y,y",1,1,p5,1,1
PACKSSWB/DW,,,,,,
PACKUSWB,"x,m / y,y,m",1,2,p23 p5,,1
PACKUSDW,"x,x / y,y,y",1,1,p5,1,1
PACKUSDW,"x,m / y,y,m",1,2,p23 p5,,1
PUNPCKH/L,,,,,,
BW/WD/DQ,"v,v / v,v,v",1,1,p5,1,1
PUNPCKH/L,,,,,,
BW/WD/DQ,"v,m / v,v,m",1,2,p23 p5,,1
PUNPCKH/L,,,,,,
QDQ,"x,x / y,y,y",1,1,p5,1,1
PUNPCKH/L,,,,,,
QDQ,"x,m / y,y,m",1,2,p23 p5,,1
PMOVSX/ZX BW,,,,,,
BD BQ DW DQ,"x,x",1,1,p5,1,1
PMOVSX/ZX BW,,,,,,
BD BQ DW DQ,"x,m",1,2,p23 p5,,1
VPMOVSX/ZX BW,,,,,,
BD BQ DW DQ,"y,x",1,1,p5,3,1
VPMOVSX/ZX BW,,,,,,
BD BQ DW DQ,"y,m",2,2,p5 p23,,1
PSHUFB,"v,v / v,v,v",1,1,p5,1,1
PSHUFB,"v,m / v,v,m",2,2,p23 p5,,1
PSHUFW,"mm,mm,i",1,1,p5,1,1
PSHUFW,"mm,m64,i",2,2,p23 p5,,1
PSHUFD,"v,v,i",1,1,p5,1,1
PSHUFD,"v,m,i",1-2,2,p23 p5,,1
PSHUFL/HW,"v,v,i",1,1,p5,1,1
PSHUFL/HW,"v,m,i",2,2,p23 p5,,1
PALIGNR,"v,v,i / v,v,v,i",1,1,p5,1,1
PALIGNR,"v,m,i / v,v,m,i",2,2,p23 p5,,1
PBLENDVB,"x,x,xmm0",1,1,p015,1,1
PBLENDVB,"x,m,xmm0",2,2,p015 p23,,2
VPBLENDVB,"v,v,v,v",2,2,2p015,2,1
VPBLENDVB,"v,v,m,v",3,3,2p015 p23,,2
PBLENDW,"x,x,i / v,v,v,i",1,1,p5,1,1
PBLENDW,"x,m,i / v,v,m,i",2,2,p23 p5,,1
VPBLENDD,"v,v,v,i",1,1,p015,1,0.33
VPBLENDD,"v,v,m,i",2,2,p015 p23,,0.5
VPERMD,"y,y,y",1,1,p5,3,1
VPERMD,"y,y,m",1,2,p5 p23,,1
VPERMQ,"y,y,i",1,1,p5,3,1
VPERMQ,"y,m,i",2,2,p5 p23,,1
VPERM2I128,"y,y,y,i",1,1,p5,3,1
VPERM2I128,"y,y,m,i",2,2,p5 p23,,1
MASKMOVQ,"mm,mm",4,4,p0 p4 2p23,~450,2
MASKMOVDQU,"x,x",10,10,4p04 2p56 4p23,18-500,6
VPMASKMOVD/Q,"v,v,m",2,2,p23 p015,4,0.5
VPMASKMOVD/Q,"m,v,v",3,3,p0 p4 p23,14,1
PMOVMSKB,"r,v",1,1,p0,2-3,1
PEXTRB/W/D/Q,"r,x,i",2,2,p0 p5,3,1
PEXTRB/W/D/Q,"m,x,i",2,3,p23 p4 p5,,1
VEXTRACTI128,"x,y,i",1,1,p5,3,1
VEXTRACTI128,"m,y,i",2,2,p23 p4,4,1
PINSRB,"x,r32,i",2,2,2p5,3,2
PINSRB,"x,m8,i",2,2,p23 p5,,1
PINSRW,"mm/x,r32,i",2,2,p5,3,2
PINSRW,"mm/x,m16,i",2,2,p23 p5,,1
PINSRD/Q,"x,r32,i",2,2,2p5,3,2
PINSRD/Q,"x,m32,i",2,2,p23 p5,,1
VINSERTI128,"y,y,x,i",1,1,p5,3,1
VINSERTI128,"y,y,m,i",2,2,p015 p23,3,0.5
VPBROADCAST,,,,,,
B/W/D/Q,"x,x",1,1,p5,1,1
VPBROADCAST,,,,,,
B/W,"x,m8/16",2,2,p23 p5,7,1
VPBROADCAST,,,,,,
D/Q,"x,m32/64",1,1,p23,4,0.5
VPBROADCAST,,,,,,
B/W/D/Q,"y,x",1,1,p5,3,1
VPBROADCAST,,,,,,
B/W,"y,m8/16",2,2,p23 p5,7,1
VPBROADCAST,,,,,,
D/Q,"y,m32/64",1,1,p23,3,0.5
VBROADCASTI128,"y,m128",1,1,p23,3,0.5
VPGATHERDD,"x,[r+s*x],x",4,4,p0 p1 p23 p5,,4
VPGATHERDD,"y,[r+s*y],y",4,4,p0 p1 p23 p5,,5
VPGATHERQD,"x,[r+s*x],x",5,5,p0 p1 p23 p5,,2
VPGATHERQD,"x,[r+s*y],x",4,4,p0 p1 p23 p5,,4
VPGATHERDQ,"x,[r+s*x],x",5,5,p0 p1 p23 p5,,2
VPGATHERDQ,"y,[r+s*x],y",4,4,p0 p1 p23 p5,,4
VPGATHERQQ,"x,[r+s*x],x",5,5,p0 p1 p23 p5,,2
VPGATHERQQ,"y,[r+s*y],y",4,4,p0 p1 p23 p5,,4
Arithmetic in-,,,,,,
structions,,,,,,
"PADD/SUB(S,US)",,,,,,
B/W/D/Q,"v,v / v,v,v",1,1,p015,1,0.33
"PADD/SUB(S,US)",,,,,,
B/W/D/Q,"v,m / v,v,m",1,2,p015 p23,,0.5
PHADD(S)W/D,,,,,,
PHSUB(S)W/D,"v,v / v,v,v",3,3,p01 2p5,3,2
PHADD(S)W/D,,,,,,
PHSUB(S)W/D,"v,m / v,v,m",4,4,p01 2p5 p23,,2
PCMPEQB/W/D,,,,,,
PCMPGTB/W/D,"mm,mm",1,1,p0,1,1
PCMPEQB/W/D,,,,,,
PCMPGTB/W/D,"x,x / y,y,y",1,1,p01,1,0.5
PCMPEQB/W/D,,,,,,
PCMPGTB/W/D,"x,m / y,y,m",1,2,p01 p23,,0.5
PCMPEQQ,"v,v / v,v,v",1,1,p01,1,0.5
PCMPEQQ,"v,m / v,v,m",1,2,p01 p23,,0.5
PCMPGTQ,"v,v / v,v,v",1,1,p5,3,1
PCMPGTQ,"v,m / v,v,m",1,2,p5 p23,,1
PMULL/HW,,,,,,
PMULHUW,"mm,mm",1,1,p0,5,1
PMULL/HW,,,,,,
PMULHUW,"x,x / y,y,y",1,1,p01,5,0.5
PMULL/HW,,,,,,
PMULHUW,"x,m / y,y,m",1,2,p01 p23,,0.5
PMULHRSW,"mm,mm",1,1,p0,5,1
PMULHRSW,"x,x / y,y,y",1,1,p01,5,0.5
PMULHRSW,"x,m / y,y,m",1,2,p01 p23,,0.5
PMULLD,"x,x / y,y,y",2,2,2p01,10,1
PMULLD,"x,m / y,y,m",3,3,2p01 p23,,1
PMULDQ,"x,x / y,y,y",1,1,p01,5,0.5
PMULDQ,"x,m / y,y,m",1,2,p01 p23,,0.5
PMULUDQ,"mm,mm",1,1,p0,5,1
PMULUDQ,"x,x / y,y,y",1,1,p01,5,0.5
PMULUDQ,"x,m / y,y,m",1,2,p01 p23,,0.5
PMADDWD,"mm,mm",1,1,p0,5,1
PMADDWD,"x,x / y,y,y",1,1,p01,5,0.5
PMADDWD,"x,m / y,y,m",1,2,p01 p23,,0.5
PMADDUBSW,"mm,mm",1,1,p0,5,1
PMADDUBSW,"x,x / y,y,y",1,1,p01,5,0.5
PMADDUBSW,"x,m / y,y,m",1,2,p01 p23,,0.5
PAVGB/W,"mm,mm",1,1,p0,1,1
PAVGB/W,"x,x / y,y,y",1,1,p01,1,0.5
PAVGB/W,"x,m / y,y,m",1,2,p01 p23,,0.5
PMIN/PMAX,,,,,,
SB/SW/SD,,,,,,
UB/UW/UD,"mm,mm",1,1,p0,1,1
PMIN/PMAX,,,,,,
SB/SW/SD,,,,,,
UB/UW/UD,"x,x / y,y,y",1,1,p01,1,0.5
PMIN/PMAX,,,,,,
SB/SW/SD,,,,,,
UB/UW/UD,"x,m / y,y,m",1,2,p01 p23,,0.5
PHMINPOSUW,"x,x",1,1,p0,4,1
PHMINPOSUW,"x,m128",1,2,p0 p23,,1
PABSB/W/D,"mm,mm",1,1,p0,1,1
PABSB/W/D,"x,x / y,y",1,1,p01,1,0.5
PABSB/W/D,"x,m / y,m",1,2,p01 p23,,0.5
PSIGNB/W/D,"mm,mm",1,1,p0,1,1
PSIGNB/W/D,"x,x / y,y,y",1,1,p01,1,0.5
PSIGNB/W/D,"x,m / y,y,m",1,2,p01 p23,,0.5
PSADBW,"v,v / v,v,v",1,1,p5,3,1
PSADBW,"v,m / v,v,m",1,2,p5 p23,,1
MPSADBW,"x,x,i / v,v,v,i",2,2,2p5,4,2
MPSADBW,"x,m,i / v,v,m,i",3,3,2p5 p23,,2
Logic instruc-,,,,,,
tions,,,,,,
PAND PANDN,,,,,,
POR PXOR,"mm,mm",1,1,p05,1,0.5
PAND PANDN,,,,,,
POR PXOR,"x,x / y,y,y",1,1,p015,1,0.33
PAND PANDN,,,,,,
POR PXOR,"v,m / v,v,m",1,2,p015 p23,,0.5
PTEST,"v,v",2,2,p0 p5,3,1
PTEST,"v,m",2,3,p0 p5 p23,,1
PSLLW/D/Q,,,,,,
PSRLW/D/Q,,,,,,
PSRAW/D/Q,"mm,mm",1,1,p0,1,1
PSLLW/D/Q,,,,,,
PSRLW/D/Q,,,,,,
PSRAW/D/Q,"mm,m64",2,2,p0 p23,,1
PSLLW/D/Q,,,,,,
PSRLW/D/Q,,,,,,
PSRAW/D/Q,"x,x / v,v,x",2,2,p01 p5,1,1
PSLLW/D/Q,,,,,,
PSRLW/D/Q,,,,,,
PSRAW/D/Q,"x,m / v,v,m",2,2,p01 p23,,0.5
PSLLW/D/Q,,,,,,
PSRLW/D/Q,,,,,,
PSRAW/D/Q,"mm,i",1,1,p0,1,1
PSLLW/D/Q,,,,,,
PSRLW/D/Q,,,,,,
PSRAW/D/Q,"x,i / y,y,i",1,1,p01,1,0.5
VPSLLVD/Q,,,,,,
VPSRAVD,,,,,,
VPSRLVD/Q,"v,v,v",1,1,p01,1,0.5
VPSLLVD/Q,,,,,,
VPSRAVD,,,,,,
VPSRLVD/Q,"v,v,m",1,2,p01 p23,,0.5
PSLLDQ,,,,,,
PSRLDQ,"x,i / v,v,i",1,1,p5,1,1
String instruc-,,,,,,
tions,,,,,,
PCMPESTRI,"x,x,i",8,8,6p05 2p16,12,4
PCMPESTRI,"x,m128,i",8,8,3p0 2p16 2p5 p23,,4
PCMPESTRM,"x,x,i",9,9,3p0 2p16 4p5,9,5
PCMPESTRM,"x,m128,i",9,9,6p05 2p16 p23,,5
PCMPISTRI,"x,x,i",3,3,3p0,10,3
PCMPISTRI,"x,m128,i",4,4,3p0 p23,,3
PCMPISTRM,"x,x,i",3,3,3p0,9,3
PCMPISTRM,"x,m128,i",4,4,3p0 p23,,3
Encryption instructions,,,,,,
PCLMULQDQ,"x,x,i",1,1,p5,7,1
PCLMULQDQ,"x,m,i",2,2,p5 p23,,1
"AESDEC,",,,,,,
"AESDECLAST,",,,,,,
"AESENC,",,,,,,
AESENCLAST,"x,x",1,1,p0,4,1
"AESDEC,",,,,,,
"AESDECLAST,",,,,,,
"AESENC,",,,,,,
AESENCLAST,"x,m",2,2,p0 p23,,1.5
AESIMC,"x,x",2,2,2p0,8,2
AESIMC,"x,m",3,3,2p0 p23,,2
AESKEYGENAS,,,,,,
SIST,"x,x,i",13,13,p0 p5,12,12
AESKEYGENAS,,,,,,
SIST,"x,m,i",13,13,,,12
Other,,,,,,
EMMS,,10,10,p05,,6
MOVAPS/D,"x,x",1,1,p015,0-1,0.25
VMOVAPS/D,"y,y",1,1,p015,0-1,0.25
MOVAPS/D,,,,,,
MOVUPS/D,"x,m128",1,1,p23,2,0.5
VMOVAPS/D,,,,,,
VMOVUPS/D,"y,m256",1,1,p23,3,0.5
MOVAPS/D,,,,,,
MOVUPS/D,"m128,x",1,2,p237 p4,3,1
VMOVAPS/D,,,,,,
VMOVUPS/D,"m256,y",1,2,p237 p4,3,1
MOVSS/D,"x,x",1,1,p5,1,1
MOVSS/D,"x,m32/64",1,1,p23,3,0.5
MOVSS/D,"m32/64,x",1,2,p237 p4,3,1
MOVHPS/D,"x,m64",1,2,p23 p5,4,1
MOVHPS/D,"m64,x",1,2,p4 p237,3,1
MOVLPS/D,"x,m64",1,2,p23 p5,4,1
MOVLPS/D,"m64,x",1,2,p4 p237,3,1
MOVHLPS,"x,x",1,1,p5,1,1
MOVLHPS,"x,x",1,1,p5,1,1
MOVMSKPS/D,"r32,x",1,1,p0,2,1
VMOVMSKPS/D,"r32,y",1,1,p0,3,1
MOVNTPS/D,"m128,x",1,2,p4 p237,~400,1
VMOVNTPS/D,"m256,y",1,2,p4 p237,~400,1
SHUFPS/D,"x,x,i / v,v,v,i",1,1,p5,1,1
SHUFPS/D,"x,m,i / v,v,m,i",2,2,p5 p23,,1
VPERMILPS/PD,"v,v,i",1,1,p5,1,1
VPERMILPS/PD,"v,m,i",2,2,p5 p23,,1
VPERMILPS/PD,"v,v,v",1,1,p5,1,1
VPERMILPS/PD,"v,v,m",2,2,p5 p23,,1
VPERM2F128,"y,y,y,i",1,1,p5,3,1
VPERM2F128,"y,y,m,i",2,2,p5 p23,,1
VPERMPS,"y,y,y",1,1,p5,3,1
VPERMPS,"y,y,m",1,2,p5 p23,,1
VPERMPD,"y,y,i",1,1,p5,3,1
VPERMPD,"y,m,i",2,2,p5 p23,,1
BLENDPS/PD,"x,x,i / v,v,v,i",1,1,p015,1,0.33
